year,sem,city,humidity,winddir,tempmax,tempmin,temp,feelslikemax,dew,feelslike,feelslikemin,windspeed,visibility,moonphase,cloudcover,hec,production
2013,2,Gampaha,82.98290503,218.2798883,23.94022346,14.76759777,19.38659218,23.96759777,16.22346369,19.39441341,14.76759777,12.01117318,14.77988827,0.538882682,70.04972067,167,1616
2014,1,Gampaha,79.47637931,167.2051724,24.90287356,14.63563218,19.72758621,25.05574713,15.77586207,19.75574713,14.63563218,9.895977011,16.70862069,0.50045977,54.27471264,79,521
2014,2,Gampaha,83.5347486,210.3357542,24.19050279,15.56592179,19.73072626,24.22513966,16.60949721,19.74078212,15.56592179,11.32458101,15.76648045,0.516759777,71.91731844,126,1194
2015,1,Gampaha,82.31329545,172.4698864,24.62386364,14.42840909,19.39715909,24.73465909,16.06136364,19.41761364,14.42840909,9.190909091,17.65965909,0.512897727,52.08977273,133,1058
2015,2,Gampaha,85.50241573,206.7926966,24.53876404,15.33932584,19.37359551,24.62640449,16.70280899,19.39438202,15.33932584,9.011235955,17.14719101,0.520898876,67.36853933,144,912
2016,1,Gampaha,78.78414773,175.7039773,25.4,14.74204545,19.71136364,25.67784091,15.50965909,19.76818182,14.74204545,10.46079545,17.60738636,0.526306818,52.19545455,127,720
2016,2,Gampaha,80.21661017,226.5932203,24.76553672,14.89887006,19.19887006,24.86045198,15.38983051,19.21751412,14.89887006,9.846892655,17.49435028,0.517175141,61.2180791,128,716
2017,1,Gampaha,78.50755682,182.9045455,24.90056818,14.03011364,19.31420455,25.11875,15.11079545,19.35795455,14.03011364,8.266477273,16.98522727,0.519147727,52.34204545,120,786
2017,2,Gampaha,83.43915254,219.6169492,24.48361582,15.72033898,19.9700565,24.58587571,16.87118644,19.99491525,15.72033898,9.238418079,16.62824859,0.501186441,70.35649718,114,1125
2018,1,Gampaha,81.95244318,174.2727273,24.61420455,14.64318182,19.59886364,24.69829545,16.18863636,19.61647727,14.64318182,10.00568182,17.49431818,0.528636364,59.58125,117,1233
2018,2,Gampaha,82.45070175,201.680117,23.75146199,16.13157895,19.94619883,23.82748538,16.65263158,19.9625731,16.13157895,9.502339181,17.38538012,0.517134503,68.12631579,106,1088
2009,1,Hambantota,82.07142012,202.1934911,29.78284024,25.33550296,27.44615385,35.27751479,23.98816568,30.53372781,26.03905325,20.42721893,23.91005917,0.524615385,57.23905325,231,1635
2019,2,Hambantota,84.79757764,237.6136646,29.47142857,25.11925466,27.09440994,34.79689441,24.18322981,29.37142857,25.18819876,23.43478261,23.91801242,0.486956522,65.32732919,356,5200
2010,1,Hambantota,81.77948864,192.5176136,31.05795455,25.52954545,28.10056818,38.33238636,24.57272727,32.18125,26.33068182,25.41022727,23.64829545,0.523636364,58.32045455,406,6191
2010,2,Hambantota,82.29617978,237.1202247,30.49494382,24.98370787,27.37078652,36.39157303,23.93370787,29.99382022,25.04662921,24.52078652,23.63876404,0.523988764,68.19662921,375,5534
2011,1,Hambantota,83.3754386,199.2725146,30.35789474,24.76140351,27.32046784,36.43976608,24.13274854,30.35555556,25.08479532,21.11169591,22.96900585,0.53251462,59.24269006,394,5810
2011,2,Hambantota,83.07926554,213.2474576,30.31016949,25.12937853,27.37514124,36.34237288,24.12429379,30.10508475,25.15988701,24.53163842,22.81864407,0.504971751,66.96384181,416,6146
2012,1,Hambantota,81.40154286,196.1702857,30.69542857,24.84457143,27.53142857,36.86228571,23.92514286,30.44114286,24.95714286,23.46971429,23.28,0.512057143,51.49657143,372,5566
2012,2,Hambantota,84.05044693,223.9296089,30.04636872,24.98826816,27.2452514,35.90782123,24.20167598,29.90391061,25.02513966,21.19106145,22.3396648,0.526703911,63.54189944,455,6670
2013,1,Hambantota,81.74554286,200.972,30.932,25.06628571,27.70685714,37.79314286,24.18114286,31.09257143,25.428,18.88514286,22.71657143,0.512342857,54.98857143,292,4306
2013,2,Hambantota,83.59128492,216.8603352,30.01005587,24.77541899,27.05921788,35.59217877,23.92402235,29.37206704,24.77541899,19.93687151,22.19441341,0.538882682,60.22905028,416,6146
2014,1,Hambantota,73.21344828,160.9683908,32.88965517,23.27298851,27.74252874,37.01666667,22.09712644,29.81896552,23.39597701,25.9316092,9.612068966,0.50045977,47.04425287,177,1245
2014,2,Hambantota,75.18564246,215.2011173,32.14636872,23.70335196,27.53296089,36.0150838,22.3424581,29.29608939,23.79608939,28.88044693,9.797765363,0.516759777,59.55810056,321,5082
2015,1,Hambantota,77.15676136,162.6920455,32.31534091,22.99886364,27.22613636,37.10284091,22.55056818,29.39488636,23.02954545,22.48920455,9.965340909,0.512897727,46.30284091,455,7205
2015,2,Hambantota,76.34573034,207.3904494,31.72359551,23.75674157,27.21404494,36.00393258,22.41348315,28.93707865,23.78146067,24.20674157,9.953932584,0.520898876,56.5241573,324,5346
2016,1,Hambantota,68.13186441,158.2734463,33.04971751,23.78361582,28.26101695,36.50564972,21.41129944,30.1920904,23.91638418,22.79661017,10.21412429,0.526610169,45.25084746,369,5437
2016,2,Hambantota,59.91028249,226.899435,33.29491525,23.9779661,28.8779661,34.95706215,19.65367232,29.97118644,24.01412429,28.36384181,9.944067797,0.517175141,49.21468927,281,4142
2017,1,Hambantota,67.23204545,178.7539773,32.09886364,19.75625,27.48522727,34.87670455,20.34829545,29.08125,19.75625,21.67329545,10.11363636,0.519147727,46.50397727,264,4137
2017,2,Hambantota,77.57610169,218.9717514,32.51525424,20.91073446,28.02485876,37.9960452,23.29830508,30.87966102,20.92316384,27.06327684,10.17966102,0.501186441,58.65084746,193,2868
2018,1,Hambantota,81.87892045,160.2670455,31.89886364,19.05284091,27.24772727,38.32386364,23.56420455,30.35397727,19.05284091,21.20454545,10.20965909,0.528636364,54.18693182,216,3525
2018,2,Hambantota,80.8452809,209.5657303,32.25955056,21.17977528,27.87865169,38.78426966,23.85280899,31.00561798,21.20955056,24.41629213,9.908988764,0.51494382,55.67696629,240,3590
2009,1,Jaffna,74.06859756,167.7152439,30.44512195,27.6097561,29.17378049,36.02134146,23.90670732,33.88170732,31.0652439,13.99573171,19.82560976,0.526707317,51.24939024,325,4692
2019,2,Jaffna,77.82820513,199.8025641,30.52820513,26.94294872,28.83589744,36.27115385,24.43846154,33.26217949,29.60448718,20.85833333,19.92435897,0.478974359,63.46089744,166,1328
2010,1,Jaffna,74.15434286,158.464,31.56057143,27.16171429,29.54,38.01942857,24.272,34.76971429,30.29314286,15.888,19.97085714,0.520914286,53.41828571,931,8272
2010,2,Jaffna,80.53696629,206.9938202,30.07022472,26.31966292,28.26123596,35.59044944,24.45898876,32.28876404,28.48426966,13.74775281,19.93426966,0.523988764,84.66179775,150,958
2011,1,Jaffna,74.85847059,177.2235294,30.60529412,25.79647059,28.57882353,35.74647059,23.51411765,32.46352941,27.91705882,17.97529412,19.99823529,0.532941176,75.15882353,147,1057
2011,2,Jaffna,77.51785311,190.0870056,30.53728814,26.42090395,28.54689266,35.90677966,24.08361582,32.60225989,28.93163842,17.82259887,19.99039548,0.504971751,83.07288136,135,910
2012,1,Jaffna,76.63159091,164.7636364,31.27102273,25.52784091,28.33125,36.57045455,23.64318182,32.05454545,27.34602273,21.39375,19.93863636,0.510625,56.11534091,256,1782
2012,2,Jaffna,79.47402235,182.9100559,30.70558659,26.01787709,28.13743017,35.80670391,24.09441341,31.71061453,27.98268156,21.57318436,19.58044693,0.526703911,69.13631285,153,1746
2013,1,Jaffna,78.80148571,159.316,30.892,25.76171429,28.28514286,36.652,24.104,32.26857143,27.80285714,18.32,19.78171429,0.512342857,60.15257143,143,2021
2013,2,Jaffna,80.73586592,181.1055866,30.03240223,25.72960894,27.75977654,35.34581006,24.04636872,31.16089385,27.27932961,21.04972067,19.64022346,0.538882682,67.67541899,135,910
2014,1,Jaffna,78.23850575,134.287931,31.52873563,25.32816092,28.35287356,37.4,24.00344828,32.28735632,27.00402299,17.77126437,19.81724138,0.50045977,57.09425287,190,3093
2014,2,Jaffna,81.64340782,183.1541899,30.53519553,25.99385475,28.03407821,36.24189944,24.45139665,31.7273743,27.83296089,18.41564246,19.38324022,0.516759777,70.58100559,89,841
2015,1,Jaffna,78.71539773,145.9585227,31.04261364,25.48181818,28.18920455,36.80170455,23.97045455,31.95284091,26.99886364,16.15738636,19.78579545,0.512897727,53.99261364,110,970
2015,2,Jaffna,81.8958427,179.7764045,30.83651685,26.59269663,28.39269663,37.23988764,24.87865169,32.65280899,28.61067416,16.61516854,19.42191011,0.520898876,62.46235955,101,752
2016,1,Jaffna,77.10542857,143.1491429,32.01142857,26.664,29.07142857,38.136,24.44685714,33.73885714,28.89028571,17.37942857,19.77885714,0.525771429,47.66628571,122,986
2016,2,Jaffna,80.37706215,175.1525424,30.68700565,26.41299435,28.23446328,36.5039548,24.39830508,32.15480226,28.27514124,19.84180791,19.70338983,0.517175141,59.65536723,118,1216
2017,1,Jaffna,78.1132,147.1394286,31.14457143,25.812,28.37428571,37.28171429,24.03371429,32.58457143,27.91485714,17.176,19.95142857,0.5168,50.58742857,122,1448
2017,2,Jaffna,81.41016949,184.220339,30.73559322,26.33389831,28.29661017,36.88079096,24.68361582,32.55762712,28.54632768,18.49096045,19.83728814,0.501186441,70.47966102,144,1146
2018,1,Jaffna,78.52607955,133.5914773,31.10852273,25.06761364,28.09431818,37.03977273,23.81590909,32.01590909,26.36988636,17.35056818,19.93295455,0.528636364,58.46988636,90,1275
2018,2,Jaffna,81.94976331,169.3461538,30.08343195,26.1887574,27.95384615,35.58284024,24.44911243,31.46153846,27.47869822,16.02544379,19.86863905,0.51183432,69.0704142,86,1254
2009,1,Kalutara,75.66420455,174.2125,31.24602273,24.41534091,27.69034091,36.00681818,22.73920455,30.52272727,25.14375,20.60511364,11.40284091,0.521761364,45.04034091,129,835
2019,2,Kalutara,79.58780899,188.6758427,30.31460674,25.13820225,27.47078652,35.27752809,23.5005618,30.19831461,25.81235955,19.71629213,11.63876404,0.506685393,57.11235955,77,560
2010,1,Kalutara,77.52653409,170.0204545,31.71420455,24.96363636,28.12102273,37.62215909,23.60965909,31.52840909,25.65909091,20.08125,11.73693182,0.523636364,50.60454545,77,580
2010,2,Kalutara,80.98095506,203.3134831,29.75842697,24.96235955,27.10280899,34.51797753,23.4511236,29.5505618,25.27865169,18.9758427,11.93764045,0.523988764,67.08820225,82,531
2011,1,Kalutara,78.20154286,169.6925714,30.952,24.68971429,27.588,36.11085714,23.276,30.47085714,25.372,20.37771429,11.76514286,0.5284,59.04685714,86,557
2011,2,Kalutara,78.41881356,185.4525424,30.5519774,24.96045198,27.51751412,35.50508475,23.2819209,30.23163842,25.55141243,20.38644068,11.92090395,0.504971751,60.96666667,68,541
2012,1,Kalutara,76.058125,177.9676136,31.42727273,24.51761364,27.80625,36.45852273,22.97215909,30.63011364,25.11420455,20.69488636,12.02897727,0.510625,52.1875,59,434
2012,2,Kalutara,80.01541899,180.1452514,30.51117318,24.7424581,27.35865922,35.73743017,23.46480447,29.97430168,25.21955307,19.77821229,12.12402235,0.526703911,64.26536313,42,404
2013,1,Kalutara,77.82828571,167.1754286,31.18457143,24.85314286,27.768,36.528,23.34228571,30.70857143,25.44228571,19.37828571,11.61371429,0.512342857,58.968,59,770
2013,2,Kalutara,79.54357542,189.3128492,30.11284916,24.84804469,27.21843575,34.88324022,23.25418994,29.66536313,25.14692737,20.11117318,11.30446927,0.538882682,63.00335196,69,749
2014,1,Kalutara,76.16350575,170.0729885,31.71264368,24.61034483,27.9,36.95862069,23.07873563,30.8683908,25.2316092,19.78908046,12.15862069,0.50045977,50.27586207,102,926
2014,2,Kalutara,81.57692737,185.8106145,30.01675978,24.83743017,27.1273743,35.11340782,23.59329609,29.72290503,25.42458101,18.44581006,11.52849162,0.516759777,66.19217877,94,453
2015,1,Kalutara,76.88840909,163.7147727,31.61761364,24.27954545,27.74943182,36.93125,23.09545455,30.56420455,24.55170455,19.18409091,11.69375,0.512897727,47.81420455,70,492
2015,2,Kalutara,80.16544944,178.4516854,30.77078652,25.07865169,27.58820225,36.42640449,23.71741573,30.49044944,25.83314607,18.81179775,11.65393258,0.520898876,60.58033708,67,456
2016,1,Kalutara,75.79502825,170.1519774,32.28813559,25.20169492,28.49435028,38.31016949,23.56836158,32.02881356,25.88587571,19.56440678,11.66045198,0.526610169,44.19265537,62,437
2016,2,Kalutara,76.86977401,205.2056497,30.42655367,25.48474576,27.6559322,35.25706215,23.11129944,30.4559322,26.37683616,18.84576271,11.56497175,0.517175141,53.30903955,50,400
2017,1,Kalutara,75.40647727,177.3107955,31.55454545,24.72954545,27.94488636,36.91761364,22.96477273,31.09602273,25.55170455,19.81136364,11.41420455,0.519147727,45.85397727,40,307
2017,2,Kalutara,79.83683616,195.3920904,30.31129944,25.28361582,27.47627119,35.57514124,23.56327684,30.35762712,26.28248588,19.04463277,10.96497175,0.501186441,56.89717514,57,496
2018,1,Kalutara,78.02238636,171.4596591,31.27386364,24.10852273,27.43579545,36.63693182,23.05795455,30.08352273,24.29545455,19.49318182,10.93977273,0.528636364,46.99261364,48,496
2018,2,Kalutara,81.43152542,184.5491525,30.13672316,24.27062147,26.8220339,34.95367232,23.24350282,28.92090395,24.48079096,18.60112994,10.30847458,0.515875706,52.38022599,47,477
2009,1,Kandy,80.25152941,209.3088235,27.93941176,21.31352941,24.55235294,29.72176471,20.56,25.28352941,21.35470588,4.978235294,18.14352941,0.521470588,55.35058824,129,1498
2019,2,Kandy,84.00987342,222.2702532,27.41962025,21.49050633,24.14556962,29.12468354,21.09873418,24.60506329,21.49050633,5.682911392,18.55632911,0.477848101,69.03987342,132,1662
2010,1,Kandy,81.91420455,189.1534091,29.49204545,21.54034091,24.97840909,32.17159091,21.33636364,25.77102273,21.55397727,6.6,18.88352273,0.523636364,56.30340909,111,1410
2010,2,Kandy,85.75724719,242.7578652,27.21067416,21.43876404,23.82808989,28.94213483,21.1488764,24.21516854,21.43876404,8.487078652,17.95786517,0.523988764,72.56011236,102,1291
2011,1,Kandy,83.42830409,197.3818713,28.46491228,20.99064327,24.21111111,30.58538012,20.93391813,24.80116959,20.99064327,8.864912281,18.7994152,0.53251462,58.88245614,134,1421
2011,2,Kandy,82.72299435,226.7220339,27.98757062,21.18135593,24.17457627,29.85310734,20.84067797,24.61977401,21.18135593,8.18700565,18.68079096,0.504971751,67.12429379,145,1626
