year,city,season,area(hec),production(MT),tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility
2015,Kurunegala,2,339,1433,31.5048913,21.20869565,26.87880435,37.04076087,21.20869565,29.3875,23.03858696,80.38016304,18.70815217,178.286413,1009.851087,58.85978261,12.23586957
2016,Kurunegala,1,301,2831,33.25524862,21.26685083,27.78563536,38.52596685,21.26685083,30.67292818,22.67569061,75.27707182,19.37292818,161.5972376,1009.879558,42.16850829,12.70994475
2016,Kurunegala,1,353,3123,31.65706522,20.95434783,26.97717391,35.64619565,20.95434783,29.31358696,22.26793478,76.30527174,18.8875,200.6125,1009.603804,52.47554348,12.37934783
2017,Kurunegala,1,251,2718,32.35777778,20.81722222,27.34111111,37.01944444,20.81722222,29.99833333,22.3,75.35777778,19.82,169.7222222,1009.847222,45.19611111,12.50555556
2017,Kurunegala,2,220,1919,31.01413043,21.55108696,26.98913043,35.98478261,21.55108696,29.48858696,23.03532609,79.7461413,19.42771739,189.3695652,1008.959783,56.91467391,12.00543478
2018,Kurunegala,1,302,966,32.46444444,20.93111111,26.99111111,37,20.93111111,29.24277778,22.36944444,77.26022222,19.60222222,162.2272222,1009.162222,45.95611111,12.24555556
2018,Kurunegala,2,215,2141,31.02372881,21.64858757,26.52259887,35.24689266,21.64858757,28.36101695,22.77853107,80.8559322,18.75649718,180.7649718,1009.828814,53.52655367,11.43107345
2009,Colombo,1,30,423,31.23149171,24.44585635,27.70165746,36.0679558,25.19447514,30.57569061,22.77237569,75.75679558,20.47734807,172.918232,1009.213812,45.20165746,12.08342541
2009,Colombo,2,35,465,30.26684783,25.16684783,27.48043478,35.20108696,25.94565217,30.25108696,23.50543478,79.54059783,19.80217391,185.875,1009.605357,56.68423913,12.6173913
2010,Colombo,1,37,482,31.60497238,24.95856354,28.12872928,37.58508287,25.69171271,31.58674033,23.60165746,77.44414365,20.44309392,167.8751381,1009.643094,50.5359116,13.26961326
2010,Colombo,2,40,459,29.66141304,25.04728261,27.13695652,34.45326087,25.67663043,29.69782609,23.49293478,81.00603261,18.84891304,199.4027174,1008.430978,67.00326087,13.50217391
2011,Colombo,1,42,482,30.84917127,24.67569061,27.60552486,36.01325967,25.32707182,30.51491713,23.26298343,78.08502762,20.42099448,168.0723757,1008.779545,59.9839779,13.03701657
2011,Colombo,2,40,462,30.43478261,24.98478261,27.54130435,35.34184783,25.6423913,30.30434783,23.28478261,78.28625,20.68478261,184.0853261,1008.755978,61.41032609,13.23913043
2012,Colombo,1,24,337,31.27692308,24.49175824,27.80989011,36.3478022,25.13956044,30.69120879,22.95384615,75.94335165,21.23956044,176.0126374,1009.06044,53.81428571,13.31043956
2012,Colombo,2,28,66,30.37065217,24.75217391,27.39782609,35.70380435,25.30271739,30.10597826,23.48858696,79.92032609,19.91086957,178.625,1009.083152,66.41467391,13.63695652
2013,Colombo,1,10,89,31.06850829,24.8679558,27.82099448,36.41933702,25.55690608,30.8558011,23.33922652,77.58138122,20.02762431,164.0762431,1009.21547,60.78950276,13.64364641
2013,Colombo,2,28,360,30.00815217,24.89076087,27.24945652,34.88478261,25.35869565,29.78206522,23.26358696,79.4625,20.13043478,186.051087,1009.128261,64.74021739,13.01576087
2014,Colombo,1,32,442,31.57016575,24.63093923,27.94033149,36.81436464,25.24640884,30.97790055,23.09392265,76.06044199,19.94143646,167.9850829,1009.429834,51.57127072,13.35856354
2014,Colombo,2,26,350,29.90923913,24.83858696,27.15597826,35.1076087,25.53315217,29.8326087,23.62554348,81.57744565,18.57663043,183.176087,1009.651087,66.93315217,12.4451087
2015,Colombo,1,28,284,31.43370166,24.27513812,27.76629834,36.86961326,24.54364641,30.64972376,23.10939227,76.88088398,19.29226519,164.0767956,1010.145304,48.54309392,12.89116022
2015,Colombo,2,27,360,30.69619565,25.15380435,27.62228261,36.49456522,25.96630435,30.61358696,23.7673913,80.22695652,18.73532609,177.0701087,1010.010326,61.39728261,12.65543478
2016,Colombo,1,28,266,32.20769231,25.21813187,28.54450549,38.44065934,25.91758242,32.16813187,23.5956044,75.67945055,19.75549451,166.0824176,1009.925414,45.56813187,12.88901099
2016,Colombo,1,28,266,30.33152174,25.5625,27.69565217,35.32065217,26.72065217,30.5701087,23.14076087,76.83108696,18.84728261,199.6679348,1010.1125,54.74293478,12.64565217
2017,Colombo,1,28,3011,31.36740331,24.76353591,27.97569061,36.75966851,25.57071823,31.16740331,22.97569061,75.32,19.81546961,173.721547,1010.281215,46.55690608,12.66187845
2017,Colombo,2,20,575,30.26467391,25.32065217,27.51358696,35.56521739,26.33967391,30.45163043,23.54673913,79.59076087,19.03804348,187.2184783,1009.419565,57.62119565,12.09673913
2018,Colombo,1,14,126,31.20441989,24.14364641,27.49060773,36.59723757,24.34530387,30.19337017,23.01933702,77.63022099,19.57458564,166.7276243,1009.553591,47.20994475,12.40662983
2018,Colombo,2,24,129,30.06972973,24.27513514,26.84594595,34.91945946,24.52108108,28.97891892,23.22756757,81.29027027,18.57243243,177.9735135,1010.375281,53.00756757,11.25621622
